time,open,high,low,close,volume
2026-03-12 14:00:00,50400,50700,50400,50700,9848
2026-03-12 14:15:00,50600,50800,50500,50600,29215
2026-03-12 14:30:00,50600,50800,50500,50700,32908
2026-03-12 14:45:00,50800,50800,50600,50600,36094
2026-03-12 15:00:00,50600,50800,50600,50600,19686
